8点40分	8點40分	8 dian3 40 fen1	8 diǎn 40 fēn	8:40 (time of day)	8 giờ 40 phút
真干净！	真干淨！	zhen1 gan1jing4!	Zhēn gānjìng!	So clean!	Sạch sẽ quá!
他跑得多快啊！	他跑得多快啊！	ta1 pao3 de duo1 kuai4 a!	Tā pǎo de duō kuài a!	He ran very fast.	Anh ấy chạy rất nhanh.
好极了！	好極了！	hao3 ji2le!	Hǎo jíle!	Great!	Tuyệt vời! / Tốt cực kỳ!
他和我一样高。	他和我一樣高。	ta1 he2 wo3 yi1yang4 gao1.	Tā hé wǒ yīyàng gāo.	He and I are the same height.	Anh ấy cao bằng tôi.
上海没有北京那么冷。	上海沒有北京那麼冷。	shang4hai3 mei2you3 bei3jing1 na4me leng3.	Shànghǎi méiyǒu běijīng nàme lěng.	Shanghai is not as cold as Beijing.	Thượng Hải không lạnh bằng Bắc Kinh.
我把衣服洗了。	我把衣服洗了。	wo3 ba3 yi1fu2 xi3le.	Wǒ bǎ yīfú xǐle.	I had the clothes washed.	Tôi giặt quần áo rồi.
行李箱被司机拿走了。	行李箱被司機拿走了。	xing2li3xiang1 bei4 si1ji1 na2 zou3le.	Xínglǐxiāng bèi sījī ná zǒule.	The luggage was taken by the driver.	Hành lý đã được tài xế mang đi rồi.
他每天骑车上班。	他每天騎車上班。	ta1 mei3 tian1 qi2 che1 shang4ban1.	Tā měi tiān qí chē shàngbān.	He bikes to work every day.	Hằng ngày anh ấy đi xe đạp đi làm.
桌子上放着一本书。	桌子上放著一本書。	zhuo1zi shang4 fang4zhe yi1 ben3 shu1.	Zhuōzi shàng fàngzhe yī běn shū.	There is a book on the table.	Trên bàn có đặt một quyển sách.
小王叫我去他家玩儿。	小王叫我去他家玩兒。	xiao3 wang2 jiao4 wo3 qu4 ta1 jia1 wan2 er.	Xiǎo wáng jiào wǒ qù tā jiā wán er.	Xiao Wang asked me to his house to play.	Tiểu Vương rủ tôi đến nhà cậu ấy chơi.
不但…而且…	不但…而且…	bu4dan4… er2qie3	Bùdàn… érqiě	Not only... but also...	Không những... mà còn...
只有…才…	隻有…才…	zhi3you3… cai2…	Zhǐyǒu… cái…	Only... can...	Chỉ có... mới...
我学中文很有『热情』。	我學中文很有『熱情』。	re4qing2	rèqíng	I am enthusiastic about studying Chinese.	Tôi rất hào hứng với việc học tiếng Trung.
今天我有很多『事情』要做。	今天我有很多『事情』要做。	shi4qing	shìqing	Today I have lots of things to do.	Hôm nay tôi có rất nhiều việc phải làm.
我『同意』你的话。	我『同意』你的話。	tong2yi4	tóngyì	I agree with what you said. (literally: same opinion)	Tôi đồng ý với những gì bạn nói. (nghĩa đen: cùng quan điểm)
我『愿意』和你一起去。	我『願意』和你一起去。	yuan4yi4	yuànyì	I am willing to go with you.	Tôi sẵn lòng đi cùng bạn.
请大家『注意』。	請大家『注意。』	zhu4yi4	zhùyì	Please pay attention Everyone.	Mọi người chú ý nhé.
我对你做的菜很『满意』。	我對你做的菜很『滿意』。	man3yi4	mǎnyì	I am pleased with your cooking.	Tôi rất hài lòng với tài nấu ăn của bạn.
这是什么『意思』？	這是什麼『意思』？	yi4si	yìsi	What does this mean ?	Điều này có nghĩa là gì?
我很『习惯』吃中国菜。	我很『習慣』吃中國菜。	xi2guan4	xíguàn	I am used to eating Chinese food.	Tôi đã quen ăn đồ ăn Trung Quốc rồi.
我天天『练习』中文。	我天天『練習』中文。	lian4xi2	liànxí	I practice Chinese every day.	Tôi luyện tập tiếng Trung mỗi ngày.
我『复习』汉语水平考试。	我『復習』漢語水平考試。	fu4xi2	fùxí	I am revising for the HSK exam.	Tôi đang ôn tập cho kỳ thi HSK.
我喜欢学『数学』。	我喜歡學『數學』。	shu4xue2	shùxué	I like studying maths.	Tôi thích học toán.
我在加拿大『留学』。	我在加拿大『留學』。	liu2xue2	liúxué	I am studying abroad in Canada.	Tôi đang du học tại Canada.
我们的『校长』很胖。	我們的『校長』很胖。	xiao4zhang3	xiàozhǎng	Our principal/head is fat.	Hiệu trưởng/người đứng đầu của chúng tôi béo phì.
春节是中国最大的『节日』。	春節是中國最大的『節日』。	jier2i4	jiérì	Spring festival is China's biggest holiday.	Tết Nguyên Đán là ngày lễ lớn nhất của Trung Quốc.
今天的电视『节目』很好看。	今天的電視『節目』很好看。	jie2mu4	jiémù	Today's TV programmes look very good.	Các chương trình truyền hình hôm nay trông rất hay.
我最喜欢的『季节』是夏季。	我最喜歡的『季節』是夏季。	ji4jie2	jìjié	My favourite season is summer.	Mùa yêu thích của tôi là mùa hè.
我『先』吃饭，再去睡觉。	我『先』吃飯，再去睡覺。	xian1	xiān	I eat first, then sleep.	Tôi ăn trước, rồi mới ngủ.
你为什么『生气』	你為什麼『生氣』	sheng1qi4	shēngqì	Why are you upset ?	Tại sao bạn lại buồn ?
我喜欢和我妈妈『聊天』。	我喜歡和我媽媽『聊天』。	liao2tian1	liáotiān	I like to chat with my mother.	Tôi thích trò chuyện với mẹ của tôi.
我们的花『特别』香。	我們的花『特別』香。	te4bie2	tèbié	Our flowers smell especially good.	Hoa của chúng tôi có mùi thơm đặc biệt dễ chịu.
我『不但』说中文，还说英文。	我『不但』說中文，還說英文。	bu2dan4	búdàn	I not only speak Chinese, also English.	Tôi không chỉ nói tiếng Trung mà còn nói được tiếng Anh.
你想吃包子『还是』饺子？	你想吃包子『還是』餃子？	hai2shi	háishi	Do you want to eat buns or dumplings?	Bạn muốn ăn bánh bao hay há cảo?
你的三明治『总是』特别好吃！	你的三明治『總是』特別好吃！	zong3shi4	zǒngshì	Your sandwiches are always especiallys good!	Bánh mì sandwich của bạn lúc nào cũng ngon tuyệt!
我惊天『还』没有吃午饭。	我驚天『還』沒有吃午飯。	hai2	hái	I haven't eaten lunch today yet.	Tôi chưa ăn trưa hôm nay.
